,pipeline,group,precision,recall,f1,accuracy
0,mutect_yb_bwa,g10,0.6175869120654397,0.26012058570198104,0.3660606060606061,0.22403560830860533
1,mutect_yb_bwa,g1,0.8621673003802282,0.781223083548665,0.8197017623136015,0.6944869831546707
2,mutect_yb_bwa,g4,0.28117001828153565,0.6623600344530577,0.39476386036960986,0.24592260952990086
3,mutect_yb_bwa,g11,0.7013888888888888,0.08699397071490095,0.15478927203065132,0.08388704318936877
4,mutect_yb_bwa,g5,0.8484486873508353,0.6124031007751938,0.7113556778389194,0.5520186335403726
5,mutect_yb_bwa,g3,0.63572267920094,0.46597760551248923,0.5377733598409543,0.36777702243371857
6,mutect_yb_bwa,g6,0.8250377073906485,0.47114556416882,0.5997807017543859,0.4283476898981989
7,mutect_yb_bwa,g2,0.8649425287356322,0.7777777777777778,0.819047619047619,0.6935483870967742
8,mutect_yb_bwa,g7,0.8628571428571429,0.7803617571059431,0.819538670284939,0.6942528735632184
9,mutect_yb_bwa,g9,0.8105590062111802,0.2248062015503876,0.3519892110586649,0.21358428805237317
10,mutect_yb_bwa,g8,0.8250377073906485,0.47114556416882,0.5997807017543859,0.4283476898981989
11,mutect_yb_bowtie,g6,0.8721174004192872,0.35831180017226527,0.5079365079365079,0.3404255319148936
12,mutect_yb_bowtie,g3,0.7016348773841962,0.4435831180017227,0.5435356200527705,0.37318840579710144
13,mutect_yb_bowtie,g9,0.8765432098765432,0.2446167097329888,0.38249158249158244,0.23646960865945046
14,mutect_yb_bowtie,g8,0.8721174004192872,0.35831180017226527,0.5079365079365079,0.3404255319148936
15,mutect_yb_bowtie,g7,0.8725099601593626,0.7545219638242894,0.8092378752886835,0.6795965865011637
16,mutect_yb_bowtie,g2,0.9132653061224489,0.4625322997416021,0.6140651801029159,0.4430693069306931
17,mutect_yb_bowtie,g1,0.8775510204081632,0.48148148148148145,0.6218020022246941,0.45117029862792574
18,mutect_yb_bowtie,g4,0.3222849083215797,0.7872523686477175,0.4573430072554416,0.2964644826467726
19,mutect_yb_bowtie,g11,0.7154471544715447,0.1515934539190353,0.2501776830135039,0.1429731925264013
20,mutect_yb_bowtie,g10,0.22021857923497268,0.347114556416882,0.26947509194249414,0.15571870170015456
21,mutect_yb_bowtie,g5,0.9179978700745474,0.7424633936261843,0.820952380952381,0.6962843295638126
22,mutect_nb_bwa,g9,0.850909090909091,0.20155038759689922,0.32590529247910865,0.194675540765391
23,mutect_nb_bwa,g8,0.7973154362416107,0.5116279069767442,0.6232948583420778,0.4527439024390244
24,mutect_nb_bwa,g4,0.22739458932488424,0.8036175710594315,0.354483282674772,0.21542368967905795
25,mutect_nb_bwa,g1,0.7775377969762419,0.6201550387596899,0.6899856252994729,0.5267008046817849
26,mutect_nb_bwa,g10,0.5793103448275863,0.21705426356589147,0.3157894736842105,0.1875
27,mutect_nb_bwa,g5,0.8391699092088197,0.5572782084409992,0.6697722567287785,0.5035019455252918
28,mutect_nb_bwa,g11,0.676595744680851,0.13695090439276486,0.22779369627507165,0.12853678253839934
29,mutect_nb_bwa,g6,0.7973154362416107,0.5116279069767442,0.6232948583420778,0.4527439024390244
30,mutect_nb_bwa,g3,0.5926640926640927,0.26442721791559,0.3656938653960691,0.22376093294460642
31,mutect_nb_bwa,g7,0.839517625231911,0.7795004306632214,0.8083966056275124,0.6784107946026986
32,mutect_nb_bwa,g2,0.806993006993007,0.49698535745047373,0.615138592750533,0.44418783679753654
33,mutect_nb_bowtie,g1,0.8329545454545455,0.6313522825150732,0.7182753552180304,0.5603975535168195
34,mutect_nb_bowtie,g4,0.25490745933819403,0.7829457364341085,0.38459911148720116,0.23808276584599267
35,mutect_nb_bowtie,g11,0.7007874015748031,0.22997416020671835,0.3463035019455253,0.20941176470588235
36,mutect_nb_bowtie,g10,0.14018691588785046,0.21963824289405684,0.17114093959731544,0.09357798165137615
37,mutect_nb_bowtie,g5,0.9012987012987013,0.2988802756244617,0.4489003880983182,0.28940783986655544
38,mutect_nb_bowtie,g6,0.8494845360824742,0.35486649440137813,0.5006075334143378,0.3338735818476499
39,mutect_nb_bowtie,g3,0.6781437125748503,0.39018087855297157,0.4953526517222526,0.32921511627906974
40,mutect_nb_bowtie,g9,0.8969957081545065,0.18001722652885443,0.2998565279770445,0.17637130801687764
41,mutect_nb_bowtie,g8,0.8494845360824742,0.35486649440137813,0.5006075334143378,0.3338735818476499
42,mutect_nb_bowtie,g7,0.9023109243697479,0.739879414298019,0.8130619971604353,0.6850079744816587
43,mutect_nb_bowtie,g2,0.897982062780269,0.689922480620155,0.7803214807598635,0.639776357827476
44,strelka_yb_bwa,g9,0.4864864864864865,0.8062015503875969,0.606807131280389,0.4355514192647743
45,strelka_yb_bwa,g4,0.012306694841994044,0.8828596037898363,0.024275006216769885,0.01228663214422708
46,strelka_yb_bwa,g7,0.48598130841121495,0.8062015503875969,0.6064139941690962,0.4351464435146444
47,strelka_yb_bwa,g1,0.485729112610275,0.8062015503875969,0.6062176165803108,0.4349442379182156
48,strelka_yb_bwa,g2,0.485729112610275,0.8062015503875969,0.6062176165803108,0.4349442379182156
49,strelka_yb_bwa,g11,0.31611650485436893,0.7011197243755384,0.43576017130620986,0.2785763175906913
50,strelka_yb_bwa,g10,0.32456140350877194,0.7011197243755384,0.443717634232761,0.2851138353765324
51,strelka_yb_bwa,g3,0.3332146671413314,0.8062015503875969,0.47153652392947093,0.3085036255767963
52,strelka_yb_bwa,g6,0.48598130841121495,0.8062015503875969,0.6064139941690962,0.4351464435146444
53,strelka_yb_bwa,g8,0.4864864864864865,0.8062015503875969,0.606807131280389,0.4355514192647743
54,strelka_yb_bwa,g5,0.485729112610275,0.8062015503875969,0.6062176165803108,0.4349442379182156
55,strelka_yb_bowtie,g4,0.015320206109679794,0.8604651162790697,0.030104416218415225,0.015282239559430932
56,strelka_yb_bowtie,g6,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
57,strelka_yb_bowtie,g8,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
58,strelka_yb_bowtie,g11,0.5146417445482866,0.7114556416881999,0.5972523499638466,0.42577319587628865
59,strelka_yb_bowtie,g2,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
60,strelka_yb_bowtie,g5,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
61,strelka_yb_bowtie,g7,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
62,strelka_yb_bowtie,g1,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
63,strelka_yb_bowtie,g9,0.7041773231031543,0.7114556416881999,0.7077977720651243,0.5477453580901857
64,strelka_yb_bowtie,g3,0.5332472562943835,0.7114556416881999,0.6095940959409595,0.43842887473460723
65,strelka_yb_bowtie,g10,0.010632447296058662,0.7493540051679587,0.020967392090232087,0.01059476837644308
66,strelka_nb_bwa,g3,0.29757021142316187,0.8122308354866494,0.43556581986143195,0.2784174785946265
67,strelka_nb_bwa,g10,0.2895480225988701,0.7062876830318691,0.4107187578261958,0.25843050740624013
68,strelka_nb_bwa,g6,0.4278584392014519,0.8122308354866494,0.5604754829123328,0.3893476465730801
69,strelka_nb_bwa,g5,0.4278584392014519,0.8122308354866494,0.5604754829123328,0.3893476465730801
70,strelka_nb_bwa,g8,0.4284416174466152,0.8122308354866494,0.5609756097560975,0.3898305084745763
71,strelka_nb_bwa,g4,0.009470532039976484,0.8880275624461671,0.018741195182912975,0.009459236288236049
72,strelka_nb_bwa,g9,0.4284416174466152,0.8122308354866494,0.5609756097560975,0.3898305084745763
73,strelka_nb_bwa,g7,0.4280526554698139,0.8122308354866494,0.5606420927467302,0.3895084675753821
74,strelka_nb_bwa,g1,0.4278584392014519,0.8122308354866494,0.5604754829123328,0.3893476465730801
75,strelka_nb_bwa,g11,0.2829537612146308,0.7062876830318691,0.40404040404040403,0.25316455696202533
76,strelka_nb_bwa,g2,0.4278584392014519,0.8122308354866494,0.5604754829123328,0.3893476465730801
77,strelka_nb_bowtie,g7,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
78,strelka_nb_bowtie,g5,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
79,strelka_nb_bowtie,g3,0.4652855543113102,0.7157622739018088,0.5639633525619274,0.3927221172022684
80,strelka_nb_bowtie,g10,0.008126532431830003,0.7536606373815676,0.016079681714185955,0.008105003797773208
81,strelka_nb_bowtie,g1,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
82,strelka_nb_bowtie,g9,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
83,strelka_nb_bowtie,g6,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
84,strelka_nb_bowtie,g4,0.011104229339939833,0.8647717484926787,0.021926903043340575,0.011084981175405474
85,strelka_nb_bowtie,g11,0.45187601957585644,0.7157622739018088,0.554,0.3831258644536653
86,strelka_nb_bowtie,g2,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
87,strelka_nb_bowtie,g8,0.6329017517136329,0.7157622739018088,0.67178658043654,0.5057821059038344
88,ss_nb_bowtie,g9,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
89,ss_nb_bowtie,g2,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
90,ss_nb_bowtie,g6,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
91,ss_nb_bowtie,g10,0.113247515072511,0.5986218776916451,0.19046314058646208,0.10525518703619567
92,ss_nb_bowtie,g8,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
93,ss_nb_bowtie,g3,0.11723534558180228,0.6925064599483204,0.20052375607931164,0.11143451143451144
94,ss_nb_bowtie,g7,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
95,ss_nb_bowtie,g11,0.11723534558180228,0.6925064599483204,0.20052375607931164,0.11143451143451144
96,ss_nb_bowtie,g4,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
97,ss_nb_bowtie,g1,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
98,ss_nb_bowtie,g5,0.3341645885286783,0.6925064599483204,0.45079899074852814,0.2909880564603692
99,ss_nb_bwa,g2,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
100,ss_nb_bwa,g6,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
101,ss_nb_bwa,g10,0.08915094339622641,0.6511627906976745,0.15683020433564981,0.08508722566122678
102,ss_nb_bwa,g1,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
103,ss_nb_bwa,g5,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
104,ss_nb_bwa,g8,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
105,ss_nb_bwa,g9,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
106,ss_nb_bwa,g4,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
107,ss_nb_bwa,g11,0.08915094339622641,0.6511627906976745,0.15683020433564981,0.08508722566122678
108,ss_nb_bwa,g7,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
109,ss_nb_bwa,g3,0.0925827391720762,0.7493540051679587,0.1648039401401781,0.0898018166804294
110,ss_yb_bowtie,g4,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
111,ss_yb_bowtie,g5,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
112,ss_yb_bowtie,g1,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
113,ss_yb_bowtie,g6,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
114,ss_yb_bowtie,g10,0.13640048642075395,0.5796726959517657,0.22083675143560294,0.12412393950571744
115,ss_yb_bowtie,g9,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
116,ss_yb_bowtie,g2,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
117,ss_yb_bowtie,g7,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
118,ss_yb_bowtie,g11,0.14145988045643906,0.6726959517657192,0.23376234660281353,0.13235044907642773
119,ss_yb_bowtie,g8,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
120,ss_yb_bowtie,g3,0.14145988045643906,0.6726959517657192,0.23376234660281353,0.13235044907642773
121,ss_yb_bwa,g9,0.3693771626297578,0.73557278208441,0.49179383818024763,0.3260786559755632
122,ss_yb_bwa,g4,0.3772486772486772,0.6141257536606374,0.46738774172402486,0.30496150556030793
123,ss_yb_bwa,g3,0.10301568154402894,0.73557278208441,0.18072161676013118,0.09933697801558683
124,ss_yb_bwa,g7,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
125,ss_yb_bwa,g11,0.09877202349172451,0.6373815676141258,0.1710389460302785,0.09351699734613926
126,ss_yb_bwa,g10,0.09877202349172451,0.6373815676141258,0.1710389460302785,0.09351699734613926
127,ss_yb_bwa,g6,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
128,ss_yb_bwa,g2,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
129,ss_yb_bwa,g5,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
130,ss_yb_bwa,g1,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
131,ss_yb_bwa,g8,0.3693771626297578,0.73557278208441,0.49179383818024763,0.3260786559755632
